instance_id,num_nodes,num_edges,density,avg_degree,cyclomatic_complexity,loop_count,conditional_count,buffer_overflow_calls,use_after_free_calls,buffer_underread_calls,race_condition_calls,info_disclosure_calls,input_validation_calls,privilege_calls,resource_leak_calls,null_deref_calls,malloc_calls,free_calls,memory_ops,total_dangerous_calls,reaching_def_edges,cfg_edges,cdg_edges,ast_edges,is_flat_cpg
CWE-20_CVE-2016-6162_1_vuln.cpg,1428,5882,0.0028865084926752763,8.238095238095237,14,0,13,9,4,2,12,8,0,1,4,4,5,3,8,36,974,318,287,1241,False
CWE-200_CVE-2017-10911_0_vuln.cpg,1195,4458,0.003124408654149408,7.4610878661087865,4,1,2,9,4,2,11,8,0,1,4,4,5,3,8,35,686,228,61,1008,False
CWE-200_CVE-2013-4516_0_vuln.cpg,1179,4433,0.0031918217936699254,7.519932145886345,1,0,0,9,4,2,11,8,0,1,4,4,5,3,8,35,755,223,3,989,False
CWE-416_CVE-2019-19966_0_vuln.cpg,1038,3265,0.0030332421038158463,6.290944123314065,1,0,0,9,4,2,11,8,0,1,4,4,5,3,8,35,449,115,0,854,False
CWE-119_CVE-2012-3364_2_vuln.cpg,1163,4160,0.003078275514538192,7.153912295786759,4,0,3,9,4,2,11,8,0,1,4,4,5,3,8,35,584,200,82,974,False
CWE-416_CVE-2020-7053_5_vuln.cpg,1197,4272,0.00298404875063914,7.137844611528822,3,0,2,9,4,2,11,8,0,1,5,4,5,3,8,36,627,201,68,1008,False
CWE-416_CVE-2016-7912_0_vuln.cpg,1269,4917,0.003055760640162278,7.749408983451537,5,0,4,9,5,2,11,8,0,1,4,4,5,4,9,36,842,258,60,1082,False
CWE-200_CVE-2014-4027_0_vuln.cpg,1377,5635,0.002974003985745892,8.184458968772693,8,2,5,9,4,2,11,9,0,1,5,4,5,3,8,36,887,319,173,1187,False
CWE-476_CVE-2021-30178_0_vuln.cpg,1094,3559,0.0029763945734113213,6.506398537477148,2,0,1,9,4,2,11,8,0,1,4,4,5,3,8,35,500,137,17,906,False
CWE-416_CVE-2021-1048_0_vuln.cpg,1248,4679,0.0030065747537680178,7.498397435897436,6,1,4,9,4,2,12,8,0,1,4,4,5,3,8,36,738,235,77,1059,False
CWE-362_CVE-2014-4652_0_vuln.cpg,1057,3381,0.003029048765803733,6.397350993377484,1,0,0,9,4,2,11,8,0,1,4,4,5,3,8,35,472,125,0,869,False
CWE-401_CVE-2019-19043_0_vuln.cpg,1604,7673,0.002984195780044586,9.567331670822943,7,1,5,9,5,2,11,8,0,1,4,4,5,4,9,36,1463,480,329,1412,False
CWE-787_CVE-2021-27365_1_vuln.cpg,1187,4252,0.0030203540036738644,7.164279696714406,5,0,4,10,4,2,11,8,0,1,4,4,5,3,8,36,603,210,77,997,False
CWE-264_CVE-2013-1858_0_vuln.cpg,2578,17908,0.0026955646611894384,13.892940263770365,43,0,42,9,11,2,17,8,9,1,5,4,5,9,14,55,5219,1105,1717,2391,False
CWE-200_CVE-2013-3229_0_vuln.cpg,1649,7695,0.0028315925509429076,9.332929047907824,24,1,22,9,4,2,15,8,3,1,4,4,5,3,8,41,1435,477,346,1458,False
CWE-476_CVE-2021-3739_0_vuln.cpg,1561,7032,0.002887695264376879,9.009609224855861,18,1,16,9,6,2,12,8,2,1,4,4,5,5,10,40,1283,435,253,1373,False
CWE-476_CVE-2020-27830_1_vuln.cpg,1248,4588,0.0029481010836263444,7.352564102564102,9,1,7,9,4,2,11,8,0,1,5,4,5,3,8,36,684,227,89,1060,False
CWE-200_CVE-2012-6543_0_vuln.cpg,1239,4638,0.0030237006497240335,7.486682808716707,6,0,5,9,4,2,11,8,0,1,4,4,5,3,8,35,704,234,94,1044,False
CWE-20_CVE-2021-3655_0_vuln.cpg,1885,9532,0.002684057285419025,10.113527851458885,26,1,24,9,4,2,11,8,0,1,4,4,5,3,8,35,1340,735,664,1687,False
CWE-125_CVE-2022-20132_0_vuln.cpg,1557,6966,0.0028753139070092277,8.947976878612717,17,1,15,9,4,2,11,8,2,1,5,4,5,3,8,38,1115,450,325,1365,False
CWE-125_CVE-2018-20854_0_vuln.cpg,1205,4338,0.002990033222591362,7.2,5,1,3,9,4,2,11,8,0,1,4,4,5,3,8,35,622,209,81,1015,False
CWE-264_CVE-2016-3841_6_vuln.cpg,1179,4150,0.0029880578487999528,7.039864291772688,2,0,1,9,4,2,13,8,2,1,5,4,5,3,8,38,641,182,46,990,False
CWE-476_CVE-2018-1092_0_vuln.cpg,2467,15215,0.002500977213903165,12.334819618970409,37,1,35,9,4,2,13,8,5,1,4,4,5,3,8,40,3795,1027,960,2270,False
CWE-476_CVE-2021-44879_0_vuln.cpg,1763,8466,0.00272533596703071,9.604083947816223,22,1,20,9,5,2,11,8,4,1,4,4,5,4,9,40,1789,510,333,1568,False
CWE-787_CVE-2017-17806_0_vuln.cpg,1446,6190,0.0029624737373592346,8.561549100968188,7,0,6,9,5,2,11,8,0,1,4,4,5,4,9,36,946,377,241,1256,False
CWE-416_CVE-2023-0468_1_vuln.cpg,1354,5582,0.0030470064335395603,8.245199409158051,14,1,12,9,4,2,13,8,1,1,4,4,5,3,8,37,1001,299,186,1164,False
CWE-476_CVE-2022-23222_12_vuln.cpg,2077,12758,0.0029588214066716577,12.285026480500722,25,0,24,9,4,2,11,8,0,1,4,4,5,3,8,35,3182,894,676,1884,False
CWE-476_CVE-2022-0617_0_vuln.cpg,1404,6049,0.0030708514315071693,8.616809116809117,7,0,6,9,4,2,11,8,2,1,4,5,5,3,8,38,1022,357,202,1216,False
CWE-416_CVE-2021-43057_2_vuln.cpg,1120,3734,0.0029793821013660154,6.667857142857143,3,0,2,9,4,2,11,8,0,1,4,4,5,3,8,35,532,152,28,933,False
CWE-787_CVE-2021-22555_0_vuln.cpg,1492,6678,0.0030019257636974663,8.951742627345844,9,2,6,9,5,2,11,8,0,1,4,4,5,4,9,36,1196,391,286,1301,False
CWE-20_CVE-2012-4398_5_vuln.cpg,1153,3938,0.0029647899200154187,6.830875975715525,3,0,2,9,4,2,11,8,0,1,4,4,5,3,8,35,596,166,22,965,False
CWE-362_CVE-2015-8839_3_vuln.cpg,1511,6554,0.0028725329920538567,8.675049636002647,12,1,10,9,4,2,11,8,6,1,4,4,5,3,8,41,1256,368,225,1321,False
CWE-476_CVE-2016-10147_0_vuln.cpg,1115,3686,0.0029675310560256336,6.611659192825112,4,0,3,9,4,2,11,8,0,1,4,4,5,3,8,35,528,147,19,928,False
CWE-416_CVE-2020-36387_5_vuln.cpg,1215,4394,0.002978962854489122,7.2329218106995885,4,0,3,9,4,2,11,8,1,1,4,4,5,3,8,36,685,209,45,1024,False
CWE-264_CVE-2016-6786_2_vuln.cpg,1127,3955,0.003116622353629072,7.0186335403726705,2,1,0,9,4,2,11,8,0,1,4,4,5,3,8,35,596,177,32,941,False
CWE-476_CVE-2017-7374_3_vuln.cpg,1454,6383,0.003021306768427699,8.779917469050893,12,0,11,9,5,2,11,8,0,1,4,4,5,4,9,36,1032,402,241,1267,False
CWE-476_CVE-2017-16646_6_vuln.cpg,1355,5503,0.0029994494922792655,8.122509225092251,4,0,3,9,4,2,12,8,0,1,4,4,5,3,8,36,914,303,152,1166,False
CWE-476_CVE-2020-12364_1_vuln.cpg,1100,3639,0.003010174538836959,6.616363636363636,2,0,1,9,4,2,11,8,0,1,4,4,5,3,8,35,538,144,6,914,False
CWE-401_CVE-2022-1012_4_vuln.cpg,1055,3384,0.003043247569628677,6.415165876777251,1,0,0,9,4,2,11,8,0,1,4,4,5,3,8,35,488,122,0,871,False
CWE-476_CVE-2022-25258_0_vuln.cpg,3053,21310,0.002287031341022452,13.960039305601049,74,4,69,9,4,2,11,8,0,1,4,4,5,3,8,35,4714,1715,1614,2853,False
CWE-119_CVE-2017-16526_0_vuln.cpg,1093,3604,0.003019548307745929,6.594693504117109,2,0,1,9,4,2,11,8,1,1,4,4,5,3,8,36,503,145,15,908,False
CWE-416_CVE-2019-20934_0_vuln.cpg,1703,8141,0.0028086883380610563,9.560775102759836,25,0,24,10,6,2,13,8,1,1,5,4,5,5,10,41,1401,510,583,1514,False
CWE-476_CVE-2017-12192_0_vuln.cpg,1236,4519,0.0029604444269748305,7.3122977346278315,7,0,6,9,4,2,11,8,3,1,4,4,5,3,8,38,705,217,82,1049,False
CWE-787_CVE-2018-5703_1_vuln.cpg,1147,4034,0.003068936188341694,7.034001743679163,3,0,2,9,4,2,11,8,0,1,4,4,5,3,8,35,571,186,60,959,False
CWE-264_CVE-2014-0181_11_vuln.cpg,1424,5852,0.002887948391987177,8.219101123595506,12,0,11,9,5,2,11,8,0,1,4,5,5,4,9,37,952,329,178,1232,False
CWE-476_CVE-2023-32252_1_vuln.cpg,1146,3989,0.003040002438708399,6.961605584642234,3,0,2,9,4,2,11,8,0,1,4,4,5,3,8,35,578,178,55,957,False
CWE-416_CVE-2021-38204_0_vuln.cpg,1512,6700,0.0029326386043791734,8.862433862433862,13,0,12,9,4,2,11,8,0,1,4,4,5,3,8,35,1169,423,211,1318,False
CWE-200_CVE-2015-8374_0_vuln.cpg,2304,13117,0.0024720548680465092,11.386284722222221,59,6,52,9,7,2,11,8,0,1,4,4,5,6,11,38,2904,922,681,2114,False
CWE-787_CVE-2023-4273_0_vuln.cpg,1170,4008,0.0029304029304029304,6.851282051282051,4,1,2,9,4,2,11,8,0,1,4,4,5,3,8,35,623,164,40,980,False
CWE-416_CVE-2017-18202_0_vuln.cpg,1310,5165,0.0030120306276570307,7.885496183206107,8,2,5,9,4,2,12,8,2,1,4,4,5,3,8,38,921,264,114,1123,False
CWE-416_CVE-2018-10902_0_vuln.cpg,1210,4569,0.0031232696921846483,7.5520661157024795,6,0,5,9,4,2,11,8,0,1,4,4,5,3,8,35,701,232,117,1022,False
CWE-416_CVE-2017-16527_0_vuln.cpg,1052,3428,0.0031004330476497124,6.517110266159696,2,0,1,9,6,2,11,8,0,1,4,4,5,5,10,37,475,134,10,867,False
CWE-264_CVE-2014-0181_9_vuln.cpg,1231,4379,0.0028920898469748306,7.114541023558083,5,0,4,9,4,2,11,8,0,1,4,4,5,3,8,35,688,197,52,1040,False
CWE-362_CVE-2022-20567_1_vuln.cpg,1247,4577,0.0029457535967542005,7.340817963111467,4,0,3,9,5,2,13,8,0,1,4,4,5,3,8,38,680,226,92,1058,False
CWE-119_CVE-2014-3184_4_vuln.cpg,1123,3958,0.003141254882913256,7.048975957257347,2,0,1,9,4,2,11,8,0,1,4,4,5,3,8,35,633,173,43,936,False
CWE-416_CVE-2022-3523_15_vuln.cpg,1277,5100,0.003129886612186183,7.987470634299139,7,0,6,9,4,2,11,8,0,1,4,4,5,3,8,35,905,273,111,1092,False
CWE-362_CVE-2022-40307_0_vuln.cpg,1063,3444,0.003050741160025724,6.479774223894638,1,0,0,9,4,2,11,8,0,1,4,4,5,3,8,35,481,133,0,877,False
CWE-362_CVE-2018-1000004_0_vuln.cpg,1284,5078,0.003082485316006342,7.909657320872274,7,1,5,9,4,2,11,8,0,1,4,4,5,3,8,35,812,270,146,1098,False
CWE-416_CVE-2019-19768_2_vuln.cpg,1358,5630,0.0030551235452890863,8.291605301914581,17,0,16,9,5,2,11,8,1,1,4,4,5,3,8,37,960,312,198,1170,False
CWE-362_CVE-2012-3552_4_vuln.cpg,1730,8569,0.0028647652925109573,9.90635838150289,9,0,8,9,5,2,11,8,0,1,4,4,5,4,9,36,1875,523,336,1531,False
CWE-362_CVE-2012-4508_0_vuln.cpg,1258,4645,0.0029374453774285306,7.384737678855326,2,0,1,9,4,2,11,8,0,1,4,4,5,3,8,35,800,220,11,1068,False
CWE-416_CVE-2022-42720_0_vuln.cpg,1517,6889,0.002995514337943066,9.082399472643376,14,0,13,9,5,2,14,8,0,1,4,4,5,4,9,39,1176,425,319,1329,False
CWE-416_CVE-2020-7053_1_vuln.cpg,1200,4348,0.003021962746733389,7.246666666666667,4,0,3,10,4,2,11,8,0,1,4,4,5,3,8,36,682,205,61,1013,False
CWE-362_CVE-2018-5344_0_vuln.cpg,1137,3860,0.0029884673033805293,6.789797713280563,5,0,4,9,6,2,12,8,0,1,4,4,5,5,10,38,557,164,41,949,False
CWE-20_CVE-2017-18221_0_vuln.cpg,1313,4990,0.002896689762784909,7.600913937547601,8,2,5,9,4,2,11,8,0,1,4,4,5,3,8,35,825,249,88,1125,False
CWE-787_CVE-2023-1073_0_vuln.cpg,1218,4462,0.0030101746872777954,7.3267651888341545,7,0,6,9,4,2,11,8,0,1,4,4,5,3,8,35,697,210,85,1030,False
CWE-20_CVE-2016-2548_0_vuln.cpg,1071,3514,0.0030663978987233525,6.562091503267974,2,0,1,9,4,2,11,8,0,1,4,4,5,3,8,35,498,138,11,886,False
CWE-476_CVE-2019-15223_1_vuln.cpg,1251,4710,0.003011990407673861,7.5299760191846525,8,0,7,9,4,2,11,8,2,1,4,4,5,3,8,37,751,234,96,1063,False
CWE-416_CVE-2023-0266_1_vuln.cpg,1150,3956,0.00299390774586597,6.88,4,0,3,9,4,2,11,8,4,1,4,4,5,3,8,39,580,172,38,964,False
CWE-200_CVE-2017-17449_0_vuln.cpg,1193,4220,0.002967534330574886,7.0746018440905285,4,0,3,9,5,2,11,9,0,1,5,5,6,3,9,37,650,191,47,1006,False
CWE-362_CVE-2017-6346_1_vuln.cpg,1142,3893,0.002987670200503138,6.8178633975481615,4,0,3,9,5,2,12,8,0,1,4,4,5,4,9,37,545,170,41,954,False
CWE-200_CVE-2014-9895_0_vuln.cpg,1266,4878,0.0030459134930595883,7.706161137440758,9,2,6,9,4,2,11,8,0,1,4,4,5,3,8,35,730,256,140,1076,False
CWE-362_CVE-2014-3611_0_vuln.cpg,1107,3622,0.002958323736341643,6.5438121047877145,3,0,2,9,4,2,11,8,0,1,4,4,5,3,8,35,501,145,16,919,False
CWE-416_CVE-2022-2318_2_vuln.cpg,1176,4048,0.0029295122304240843,6.884353741496598,2,0,1,9,4,2,11,8,1,1,4,4,5,3,8,36,623,176,8,987,False
CWE-362_CVE-2021-3752_0_vuln.cpg,1042,3264,0.0030090659173502518,6.264875239923224,1,0,0,9,4,2,11,8,0,1,4,4,5,3,8,35,442,114,0,855,False
CWE-401_CVE-2020-12656_0_vuln.cpg,1077,3416,0.00294774483713192,6.343546889507892,1,0,0,9,4,2,11,8,0,1,5,4,5,3,8,36,470,127,0,893,False
CWE-787_CVE-2022-0435_1_vuln.cpg,1470,6518,0.0030183891119415773,8.868027210884353,13,1,11,9,4,2,13,8,2,1,4,4,5,3,8,37,1131,394,247,1279,False
CWE-787_CVE-2019-19532_2_vuln.cpg,1184,4109,0.0029335918758995683,6.940878378378378,3,0,2,9,4,2,11,8,0,1,5,5,6,3,9,36,611,180,46,994,False
CWE-416_CVE-2019-10125_1_vuln.cpg,1245,4720,0.0030475600149795323,7.582329317269076,6,0,5,9,5,2,11,8,1,1,4,4,5,3,8,37,742,239,116,1059,False
CWE-200_CVE-2013-3230_0_vuln.cpg,1371,5437,0.002894685002688644,7.931436907366885,11,0,10,9,5,2,11,8,5,1,4,4,5,4,9,41,919,287,133,1179,False
CWE-787_CVE-2019-9162_1_vuln.cpg,1126,3903,0.0030811130846654824,6.932504440497335,3,0,2,9,4,2,11,8,0,1,4,4,5,3,8,35,604,165,34,939,False
CWE-416_CVE-2019-6974_0_vuln.cpg,1330,5305,0.0030012955639663495,7.977443609022556,8,0,7,9,4,2,11,8,0,1,4,4,5,3,8,35,848,291,138,1140,False
CWE-416_CVE-2022-42703_3_vuln.cpg,1241,4635,0.0030120090457747394,7.469782433521353,5,0,4,9,4,2,11,8,0,1,4,4,5,3,8,35,726,228,109,1053,False
CWE-416_CVE-2022-4696_0_vuln.cpg,1120,3738,0.002982573726541555,6.675,5,0,4,9,4,2,11,8,3,1,4,4,5,3,8,38,527,155,31,932,False
CWE-416_CVE-2022-3424_0_vuln.cpg,1298,4945,0.00293732246870519,7.619414483821264,6,0,5,9,4,2,11,8,1,1,4,4,5,3,8,36,816,249,97,1112,False
CWE-20_CVE-2013-7263_0_vuln.cpg,1253,4654,0.0029666818804198994,7.428571428571429,8,0,7,9,5,2,11,8,3,1,4,4,5,4,9,39,780,221,69,1063,False
CWE-264_CVE-2016-10044_0_vuln.cpg,1072,3459,0.0030127722730883396,6.4533582089552235,1,0,0,9,4,2,11,8,0,1,4,4,5,3,8,35,511,125,0,886,False
CWE-416_CVE-2022-3523_11_vuln.cpg,1289,4986,0.003003194734229915,7.736229635376261,7,0,6,9,4,2,11,8,0,1,4,4,5,3,8,35,834,254,98,1101,False
CWE-119_CVE-2014-3184_0_vuln.cpg,1094,3605,0.003014864410550102,6.590493601462523,2,0,1,9,4,2,11,8,0,1,4,4,5,3,8,35,530,140,18,907,False
CWE-362_CVE-2012-3552_0_vuln.cpg,1477,6231,0.0028581887037556902,8.437373053486798,7,0,6,9,4,2,11,8,0,1,4,4,5,3,8,35,1108,347,191,1284,False
CWE-416_CVE-2019-19768_6_vuln.cpg,1111,3686,0.002988947543402989,6.635463546354636,3,0,2,9,4,2,11,8,0,1,4,4,5,3,8,35,575,136,24,923,False
CWE-787_CVE-2022-3577_0_vuln.cpg,1488,6428,0.002905105899877794,8.63978494623656,9,2,6,10,4,2,12,8,0,1,6,5,6,3,9,38,1124,373,231,1298,False
CWE-362_CVE-2020-29368_0_vuln.cpg,1264,4604,0.0028839311665012977,7.284810126582278,5,0,4,9,4,2,11,8,0,1,4,4,5,3,8,35,801,208,43,1076,False
CWE-416_CVE-2017-16939_2_vuln.cpg,1174,4122,0.002993242330633461,7.022146507666099,2,0,1,9,4,2,11,8,0,1,4,4,5,3,8,35,626,189,10,984,False
CWE-200_CVE-2016-4485_0_vuln.cpg,1133,3829,0.002985444690134388,6.7590467784642545,2,0,1,9,4,2,11,8,0,1,4,4,5,3,8,35,566,156,31,945,False
CWE-20_CVE-2019-9503_2_vuln.cpg,1115,3669,0.0029538446675415222,6.581165919282511,2,0,1,9,5,2,11,8,0,1,4,4,5,4,9,36,542,142,8,926,False
CWE-476_CVE-2023-32252_5_vuln.cpg,1076,3485,0.003012881473156393,6.477695167286245,2,0,1,9,4,2,11,8,0,1,5,4,5,3,8,36,488,133,18,890,False
CWE-264_CVE-2014-0181_15_vuln.cpg,1331,5077,0.002867988905396474,7.628850488354621,8,1,6,9,4,2,11,8,0,1,4,4,5,3,8,35,796,258,135,1139,False
CWE-119_CVE-2017-5547_1_vuln.cpg,1220,4373,0.0029404645032881024,7.168852459016393,3,0,2,10,4,2,11,8,0,1,4,4,5,3,8,36,744,191,34,1030,False
CWE-401_CVE-2019-19073_2_vuln.cpg,1314,5261,0.003049356568955104,8.007610350076103,5,0,4,9,4,2,11,8,0,1,5,5,5,3,8,37,806,291,159,1123,False
CWE-416_CVE-2022-1882_3_vuln.cpg,1408,5855,0.002955494443367578,8.316761363636363,8,1,6,9,4,2,11,8,0,1,4,5,5,3,8,36,924,335,212,1218,False
CWE-200_CVE-2022-33741_0_vuln.cpg,1840,9006,0.0026615362791687354,9.789130434782608,16,1,14,9,5,2,11,8,0,1,4,4,5,4,9,36,1694,579,469,1640,False
CWE-401_CVE-2022-1012_0_vuln.cpg,1065,3456,0.0030498782166684317,6.490140845070423,1,0,0,9,4,2,11,8,0,1,4,4,5,3,8,35,495,130,0,880,False
CWE-119_CVE-2014-9728_0_vuln.cpg,2541,17136,0.002655040020823843,13.487603305785123,34,0,33,9,4,2,13,8,6,1,4,4,5,3,8,41,4233,1237,1314,2339,False
CWE-264_CVE-2016-10200_1_vuln.cpg,1513,6469,0.002827785296390716,8.551222736285526,14,0,13,9,4,2,17,8,6,1,4,5,5,3,8,42,1063,377,289,1317,False
CWE-125_CVE-2023-38430_0_vuln.cpg,1039,3264,0.003026476102521878,6.282964388835419,1,0,0,9,4,2,11,8,0,1,4,4,5,3,8,35,443,115,0,854,False
CWE-416_CVE-2021-33034_1_vuln.cpg,1213,4392,0.002987438067796887,7.241549876339654,4,0,3,9,4,2,11,8,0,1,4,4,5,3,8,35,677,209,57,1021,False
CWE-416_CVE-2020-36387_1_vuln.cpg,1202,4308,0.0029842020168993947,7.168053244592346,3,0,2,9,4,2,11,8,1,1,4,4,5,3,8,36,680,194,70,1014,False
CWE-362_CVE-2015-8839_7_vuln.cpg,1034,3251,0.0030436598066513002,6.288201160541586,1,0,0,9,4,2,11,8,2,1,4,4,5,3,8,37,456,111,0,848,False
CWE-476_CVE-2017-16646_2_vuln.cpg,1326,5371,0.003057002191297419,8.10105580693816,4,0,3,9,4,2,12,8,0,1,4,4,5,3,8,36,879,296,153,1137,False
CWE-264_CVE-2016-6786_6_vuln.cpg,1146,4116,0.0031367886782962574,7.183246073298429,2,1,0,9,4,2,11,8,0,1,4,4,5,3,8,35,641,191,32,959,False
CWE-362_CVE-2017-1000112_3_vuln.cpg,2292,13666,0.0026025657725845803,11.924956369982548,28,1,26,9,4,2,11,8,1,1,4,5,6,3,9,37,3154,938,804,2096,False
CWE-416_CVE-2021-29657_0_vuln.cpg,1709,8799,0.0030144174044834963,10.297249853715623,9,0,8,9,4,2,11,8,3,1,4,4,5,3,8,38,1651,597,484,1521,False
CWE-416_CVE-2017-7374_3_vuln.cpg,1111,3708,0.0030067871652030066,6.6750675067506755,2,0,1,9,4,2,11,8,0,1,4,4,5,3,8,35,541,150,26,925,False
CWE-200_CVE-2016-5244_0_vuln.cpg,1155,4155,0.0031173332733124763,7.194805194805195,2,0,1,9,4,2,11,8,0,1,4,4,5,3,8,35,619,195,56,968,False
CWE-362_CVE-2022-39188_0_vuln.cpg,1044,3285,0.003016828115184977,6.293103448275862,2,0,1,9,4,2,11,8,0,1,4,4,5,3,8,35,448,117,4,858,False
CWE-476_CVE-2022-23222_16_vuln.cpg,1213,4549,0.0030942294559216845,7.500412201154163,6,0,5,9,4,2,11,8,0,1,4,4,5,3,8,35,629,249,123,1026,False
CWE-416_CVE-2020-10690_1_vuln.cpg,1161,4087,0.0030346906650034157,7.040482342807924,4,0,3,9,4,2,11,8,2,1,5,4,5,3,8,38,608,189,37,975,False
CWE-119_CVE-2017-15126_0_vuln.cpg,1480,6651,0.0030384847321966997,8.987837837837837,10,1,8,9,4,2,12,8,3,1,4,4,5,3,8,39,1197,408,223,1291,False
CWE-362_CVE-2022-1048_2_vuln.cpg,1759,9270,0.0029977473238556656,10.540079590676521,20,2,17,9,5,2,12,9,1,1,5,4,6,4,10,38,1914,581,721,1571,False
CWE-20_CVE-2012-4398_1_vuln.cpg,1349,5591,0.0030745931154630424,8.289103039288362,5,0,4,10,4,2,11,8,0,1,4,4,5,3,8,36,1021,307,111,1157,False
CWE-20_CVE-2008-7316_1_vuln.cpg,1386,5733,0.002986544141778799,8.272727272727273,7,1,5,10,4,3,11,8,2,1,4,4,5,3,8,38,1094,300,140,1195,False
CWE-200_CVE-2017-9150_0_vuln.cpg,2106,12904,0.002910810195054059,12.254510921177587,49,1,47,9,4,2,11,8,0,1,4,4,5,3,8,35,3526,845,664,1913,False
CWE-264_CVE-2016-3841_2_vuln.cpg,1274,4912,0.003028729770958477,7.7111459968602825,3,0,2,9,4,2,11,8,0,1,5,4,5,3,8,36,895,246,24,1081,False
CWE-787_CVE-2021-27365_5_vuln.cpg,1401,6423,0.003274701743652493,9.169164882226982,2,0,1,10,4,2,11,8,0,1,4,4,5,3,8,36,969,456,314,1213,False
